Target_E   Reached_E  Difference   Sweeps  TotalTime  Electrons  Dimension    J     K     B 
-0.6000    -0.5746   -0.0254       00100   005        1          0000000004   0.10  0.00  0.20
-0.8000    -0.7833   -0.0167       00100   005        1          0000000004   0.20  0.00  0.20
-1.0000    -0.9409   -0.0591       00100   005        1          0000000004   0.30  0.00  0.20
-1.2000    -0.7321   -0.4679       00100   005        1          0000000004   0.40  0.00  0.20
-1.4000    -1.3034   -0.0966       00100   005        1          0000000004   0.50  0.00  0.20
-1.6000    -1.5347   -0.0653       00100   005        1          0000000004   0.60  0.00  0.20
-1.8000    -1.3956   -0.4044       00100   005        1          0000000004   0.70  0.00  0.20
-2.0000    -1.8762   -0.1238       00100   005        1          0000000004   0.80  0.00  0.20
-2.2000    -2.0805   -0.1195       00100   005        1          0000000004   0.90  0.00  0.20
-2.4000    -1.7711   -0.6289       00100   005        1          0000000004   1.00  0.00  0.20
-0.4000    -0.4000    0.0000       00100   005        1          0000000004   0.00  0.10  0.20
-0.6000    -0.5986   -0.0014       00100   005        1          0000000004   0.10  0.10  0.20
-0.8000    -0.5960   -0.2040       00100   005        1          0000000004   0.20  0.10  0.20
-1.0000    -0.8784   -0.1216       00100   005        1          0000000004   0.30  0.10  0.20
-1.2000    -0.9315   -0.2685       00100   005        1          0000000004   0.40  0.10  0.20
-1.4000    -1.3812   -0.0188       00100   005        1          0000000004   0.50  0.10  0.20
-1.6000    -1.3319   -0.2681       00100   005        1          0000000004   0.60  0.10  0.20
-1.8000    -1.7658   -0.0342       00100   005        1          0000000004   0.70  0.10  0.20
-2.0000    -1.7900   -0.2100       00100   005        1          0000000004   0.80  0.10  0.20
-2.2000    -1.8137   -0.3863       00100   005        1          0000000004   0.90  0.10  0.20
-2.4000    -0.4496   -1.9504       00100   005        1          0000000004   1.00  0.10  0.20
-0.4000    -0.4000    0.0000       00100   005        1          0000000004   0.00  0.20  0.20
-0.6000    -0.5730   -0.0270       00100   005        1          0000000004   0.10  0.20  0.20
-0.8000    -0.7603   -0.0397       00100   005        1          0000000004   0.20  0.20  0.20
-1.0000    -0.9725   -0.0275       00100   005        1          0000000004   0.30  0.20  0.20
-1.2000    -1.0678   -0.1322       00100   005        1          0000000004   0.40  0.20  0.20
-1.4000    -1.3812   -0.0188       00100   005        1          0000000004   0.50  0.20  0.20
-1.6000    -1.3408   -0.2592       00100   005        1          0000000004   0.60  0.20  0.20
-1.8000    -1.7755   -0.0245       00100   005        1          0000000004   0.70  0.20  0.20
-2.0000    -1.9089   -0.0911       00100   005        1          0000000004   0.80  0.20  0.20
-2.2000    -2.0967   -0.1033       00100   005        1          0000000004   0.90  0.20  0.20
-2.4000    -2.1066   -0.2934       00100   005        1          0000000004   1.00  0.20  0.20
-0.4000    -0.4000    0.0000       00100   005        1          0000000004   0.00  0.30  0.20
-0.6000    -0.5730   -0.0270       00100   005        1          0000000004   0.10  0.30  0.20
-0.8000    -0.7858   -0.0142       00100   005        1          0000000004   0.20  0.30  0.20
-1.0000    -0.8907   -0.1093       00100   005        1          0000000004   0.30  0.30  0.20
-1.2000    -1.1636   -0.0364       00100   005        1          0000000004   0.40  0.30  0.20
-1.4000    -1.3558   -0.0442       00100   005        1          0000000004   0.50  0.30  0.20
-1.6000    -1.5621   -0.0379       00100   005        1          0000000004   0.60  0.30  0.20
-1.8000    -1.3669   -0.4331       00100   005        1          0000000004   0.70  0.30  0.20
-2.0000    -1.9551   -0.0449       00100   005        1          0000000004   0.80  0.30  0.20
-2.2000    -2.0409   -0.1591       00100   005        1          0000000004   0.90  0.30  0.20
-2.4000    -2.1240   -0.2760       00100   005        1          0000000004   1.00  0.30  0.20
-0.4000    -0.4000    0.0000       00100   005        1          0000000004   0.00  0.40  0.20
-0.6000    -0.4959   -0.1041       00100   005        1          0000000004   0.10  0.40  0.20
-0.8000    -0.7668   -0.0332       00100   005        1          0000000004   0.20  0.40  0.20
-1.0000    -0.8226   -0.1774       00100   005        1          0000000004   0.30  0.40  0.20
-1.2000    -1.1568   -0.0432       00100   005        1          0000000004   0.40  0.40  0.20
-1.4000    -0.9895   -0.4105       00100   005        1          0000000004   0.50  0.40  0.20
-1.6000    -0.9605   -0.6395       00100   005        1          0000000004   0.60  0.40  0.20
-1.8000    -1.3042   -0.4958       00100   005        1          0000000004   0.70  0.40  0.20
-2.0000    -1.3570   -0.6430       00100   005        1          0000000004   0.80  0.40  0.20
-2.2000    -2.0882   -0.1118       00100   005        1          0000000004   0.90  0.40  0.20
-2.4000    -2.1701   -0.2299       00100   005        1          0000000004   1.00  0.40  0.20
-0.4000    -0.4000    0.0000       00100   005        1          0000000004   0.00  0.50  0.20
-0.6000    -0.5969   -0.0031       00100   005        1          0000000004   0.10  0.50  0.20
-0.8000    -0.7106   -0.0894       00100   005        1          0000000004   0.20  0.50  0.20
-1.0000    -0.9868   -0.0132       00100   005        1          0000000004   0.30  0.50  0.20
-1.2000    -1.1603   -0.0397       00100   005        1          0000000004   0.40  0.50  0.20
-1.4000    -1.0444   -0.3556       00100   005        1          0000000004   0.50  0.50  0.20
-1.6000    -1.5511   -0.0489       00100   005        1          0000000004   0.60  0.50  0.20
-1.8000    -1.6737   -0.1263       00100   005        1          0000000004   0.70  0.50  0.20
-2.0000    -1.9106   -0.0894       00100   005        1          0000000004   0.80  0.50  0.20
-2.2000    -1.5358   -0.6642       00100   005        1          0000000004   0.90  0.50  0.20
-2.4000    -2.3397   -0.0603       00100   005        1          0000000004   1.00  0.50  0.20
-0.4000    -0.4000    0.0000       00100   005        1          0000000004   0.00  0.60  0.20
-0.6000    -0.5306   -0.0694       00100   005        1          0000000004   0.10  0.60  0.20
-0.8000    -0.7383   -0.0617       00100   005        1          0000000004   0.20  0.60  0.20
-1.0000    -0.9789   -0.0211       00100   005        1          0000000004   0.30  0.60  0.20
-1.2000    -1.1920   -0.0080       00100   005        1          0000000004   0.40  0.60  0.20
-1.4000    -1.0578   -0.3422       00100   005        1          0000000004   0.50  0.60  0.20
-1.6000    -1.5470   -0.0530       00100   005        1          0000000004   0.60  0.60  0.20
-1.8000    -1.7601   -0.0399       00100   005        1          0000000004   0.70  0.60  0.20
-2.0000    -1.9715   -0.0285       00100   005        1          0000000004   0.80  0.60  0.20
-2.2000    -2.1834   -0.0166       00100   005        1          0000000004   0.90  0.60  0.20
-2.4000    -2.0623   -0.3377       00100   005        1          0000000004   1.00  0.60  0.20
-0.4000    -0.4000    0.0000       00100   005        1          0000000004   0.00  0.70  0.20
-0.6000    -0.5944   -0.0056       00100   005        1          0000000004   0.10  0.70  0.20
-0.8000    -0.7976   -0.0024       00100   005        1          0000000004   0.20  0.70  0.20
-1.0000    -0.8656   -0.1344       00100   005        1          0000000004   0.30  0.70  0.20
-1.2000    -1.1098   -0.0902       00100   005        1          0000000004   0.40  0.70  0.20
-1.4000    -1.1963   -0.2037       00100   005        1          0000000004   0.50  0.70  0.20
-1.6000    -1.1837   -0.4163       00100   005        1          0000000004   0.60  0.70  0.20
-1.8000    -1.5079   -0.2921       00100   005        1          0000000004   0.70  0.70  0.20
-2.0000    -1.9364   -0.0636       00100   005        1          0000000004   0.80  0.70  0.20
